id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-315,SSB Fundamentals,SSB Process,Easy,SingleWord,What is the name of the test in which a candidate writes responses to 60 incomplete sentences at SSB?,,"{""correctAnswer"":""Sentence Completion Test"",""acceptableAnswers"":[""sentence completion test"",""SCT"",""sct""],""explanation"":""The Sentence Completion Test requires candidates to complete 60 partial sentences in 15 minutes revealing subconscious attitudes and personality traits.""}",5,,"[""SSB"",""psychological"",""SCT""]",NotebookLM Import,true
NLM-316,OLQs,Officer Like Qualities,Easy,SingleWord,What is the OLQ that describes a candidate willingness to take the lead and act without being told?,,"{""correctAnswer"":""Initiative"",""acceptableAnswers"":[""initiative""],""explanation"":""Initiative is one of the 15 OLQs and refers to the ability to independently identify problems and take action without waiting for instructions.""}",5,,"[""OLQ"",""initiative"",""SSB""]",NotebookLM Import,true
NLM-317,General Knowledge,Indian Military,Medium,SingleWord,What is the name of the missile that is jointly developed by India and Russia and is the fastest cruise missile in the world?,,"{""correctAnswer"":""BrahMos"",""acceptableAnswers"":[""brahmos"",""BrahMos missile""],""explanation"":""BrahMos is a supersonic cruise missile jointly developed by India and Russia. It is the fastest cruise missile currently in operational service.""}",10,,"[""missile"",""defence"",""BrahMos""]",NotebookLM Import,true
NLM-318,SSB Fundamentals,SSB Process,Easy,SingleWord,What does the abbreviation GTO stand for in the SSB process?,,"{""correctAnswer"":""Group Testing Officer"",""acceptableAnswers"":[""group testing officer""],""explanation"":""The GTO is one of the three assessors at SSB along with the Psychologist and the Interviewing Officer. The GTO evaluates candidates through outdoor group tasks.""}",5,,"[""GTO"",""SSB"",""assessor""]",NotebookLM Import,true
NLM-319,General Knowledge,NDA/CDS,Medium,SingleWord,Which tri-services organisation trains officers for all three defence services at the postgraduate level in India?,,"{""correctAnswer"":""National Defence College"",""acceptableAnswers"":[""national defence college"",""NDC"",""ndc""],""explanation"":""The National Defence College in New Delhi provides higher defence training to senior military officers and civil servants preparing them for top command and policy roles.""}",10,,"[""NDC"",""defence"",""training""]",NotebookLM Import,true
NLM-320,Leadership,Team Dynamics,Hard,SingleWord,What term describes the psychological phenomenon where a group suppresses dissenting views to maintain consensus leading to poor decisions?,,"{""correctAnswer"":""Groupthink"",""acceptableAnswers"":[""groupthink"",""group think""],""explanation"":""Groupthink occurs when the desire for harmony overrides realistic appraisal of alternatives. It is a known failure mode in military and organisational decision-making.""}",20,,"[""leadership"",""psychology"",""decision making""]",NotebookLM Import,true
NLM-321,SSB Fundamentals,Psychological Tests,Medium,SingleWord,In the SSB Self Description Test what is the fifth perspective a candidate is asked to describe?,,"{""correctAnswer"":""Themselves"",""acceptableAnswers"":[""themselves"",""self"",""yourself"",""oneself""],""explanation"":""The five perspectives in the SDT are: how your parents see you how your teachers or employers see you how your friends see you how you see yourself and what you want to be in future.""}",10,,"[""SDT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-322,General Knowledge,Indian Military,Easy,SingleWord,What is the name of the Indian Army regiment raised specifically for mountain warfare and service in high-altitude areas?,,"{""correctAnswer"":""Ladakh Scouts"",""acceptableAnswers"":[""ladakh scouts"",""the ladakh scouts""],""explanation"":""The Ladakh Scouts is an elite infantry regiment of the Indian Army specialised in high-altitude mountain warfare. They are recruited from Ladakh and are known for extreme endurance.""}",5,,"[""Army"",""regiment"",""mountain warfare""]",NotebookLM Import,true
NLM-323,Decision Making,Military Ethics,Hard,SingleWord,What Latin term refers to the principle that military action must be proportional to the military objective and not cause excessive civilian harm?,,"{""correctAnswer"":""Proportionality"",""acceptableAnswers"":[""proportionality""],""explanation"":""Proportionality is a core principle of international humanitarian law requiring that the anticipated civilian harm from an attack not be excessive relative to the expected military advantage gained.""}",20,,"[""military law"",""ethics"",""IHL""]",NotebookLM Import,true
NLM-324,SSB Fundamentals,SSB Process,Medium,SingleWord,What is the name of the document that contains the personal background academic and extracurricular details a candidate fills at SSB on Day 1?,,"{""correctAnswer"":""Personal Information Form"",""acceptableAnswers"":[""personal information form"",""PIF"",""pif""],""explanation"":""The PIF is the foundational document used by all three assessors at SSB. The interviewing officer bases many personal interview questions on details in the PIF.""}",10,,"[""SSB"",""PIF"",""Day1""]",NotebookLM Import,true
