id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-256,SSB Fundamentals,SSB Process,Easy,TrueFalse,The SSB interview process spans 5 days for all candidates who clear the screening test.,,"{""correctAnswer"":true,""explanation"":""Candidates who clear Day 1 screening proceed to a 4-day detailed assessment making it a 5-day process in total.""}",5,,"[""SSB"",""process"",""duration""]",NotebookLM Import,true
NLM-257,SSB Fundamentals,SSB Process,Easy,TrueFalse,A candidate who is not recommended at SSB can never reappear for the same entry.,,"{""correctAnswer"":false,""explanation"":""A non-recommended candidate can appear for SSB again for the same or different entries subject to age eligibility.""}",5,,"[""SSB"",""reappear"",""result""]",NotebookLM Import,true
NLM-258,OLQs,Officer Like Qualities,Easy,TrueFalse,Courage is one of the 15 Officer Like Qualities assessed at SSB.,,"{""correctAnswer"":true,""explanation"":""Courage is included among the 15 OLQs under the Dynamic category reflecting readiness to take risks and face challenges.""}",5,,"[""OLQ"",""courage"",""SSB""]",NotebookLM Import,true
NLM-259,SSB Fundamentals,Psychological Tests,Easy,TrueFalse,In TAT the candidate is shown a blank slide and expected to write a story about anything they choose.,,"{""correctAnswer"":true,""explanation"":""One of the TAT slides is blank. It tests the candidate imagination and reveals inner thought patterns and personality.""}",5,,"[""TAT"",""psychological"",""blank""]",NotebookLM Import,true
NLM-260,GTO Tasks,Group Tasks,Medium,TrueFalse,The Group Planning Exercise allows candidates to present individual solutions before group discussion.,,"{""correctAnswer"":true,""explanation"":""In GPE each candidate first writes their individual solution then the group discusses to reach a common plan allowing the assessor to observe both individual reasoning and group dynamics.""}",10,,"[""GTO"",""GPE"",""group planning""]",NotebookLM Import,true
NLM-261,SSB Fundamentals,SSB Process,Medium,TrueFalse,The PPDT story is both written and verbally narrated during SSB screening.,,"{""correctAnswer"":true,""explanation"":""In PPDT candidates first write a story individually then narrate it to the group followed by a group discussion to form a common narrative.""}",10,,"[""PPDT"",""screening"",""SSB""]",NotebookLM Import,true
NLM-262,General Knowledge,Indian Military,Medium,TrueFalse,The Param Vir Chakra is awarded for gallantry during peacetime operations only.,,"{""correctAnswer"":false,""explanation"":""The Param Vir Chakra is India highest wartime gallantry award given for extraordinary valour in the face of the enemy. The Ashok Chakra is the peacetime equivalent.""}",10,,"[""PVC"",""awards"",""gallantry""]",NotebookLM Import,true
NLM-263,Leadership,Team Dynamics,Medium,TrueFalse,A good leader always avoids all conflict within the team to maintain harmony.,,"{""correctAnswer"":false,""explanation"":""Effective leaders manage and channel conflict constructively. Avoiding all conflict can suppress innovation and honest feedback. Healthy debate improves decision quality.""}",10,,"[""leadership"",""conflict"",""OLQ""]",NotebookLM Import,true
NLM-264,SSB Fundamentals,SSB Process,Hard,TrueFalse,Candidates recommended by SSB are directly commissioned into the Indian Armed Forces.,,"{""correctAnswer"":false,""explanation"":""Recommendation by SSB leads to a merit list. Actual commission happens only after clearing the medical examination and completing training at IMA or INA or AFA.""}",20,,"[""SSB"",""commission"",""training""]",NotebookLM Import,true
NLM-265,General Knowledge,NDA,Easy,TrueFalse,Both male and female candidates are eligible to apply for the NDA examination conducted by UPSC.,,"{""correctAnswer"":true,""explanation"":""Following a Supreme Court order in 2021 female candidates are now eligible to apply for the NDA examination.""}",5,,"[""NDA"",""eligibility"",""gender""]",NotebookLM Import,true
NLM-266,Psychological Tests,SRT,Hard,TrueFalse,In the SRT a candidate has approximately 30 seconds per situation.,,"{""correctAnswer"":true,""explanation"":""In SRT 60 situations are given in 30 minutes which is approximately 30 seconds per situation testing instinctive responses.""}",20,,"[""SRT"",""psychological"",""time""]",NotebookLM Import,true
NLM-267,Decision Making,Ethics,Hard,TrueFalse,An officer is justified in disobeying an unethical order if following it would violate international law.,,"{""correctAnswer"":true,""explanation"":""Under international humanitarian law soldiers are expected to disobey clearly illegal orders. This principle was reinforced at the Nuremberg trials.""}",20,,"[""ethics"",""decision making"",""military law""]",NotebookLM Import,true
NLM-268,General Knowledge,Indian Military,Medium,TrueFalse,The Indian Coast Guard operates under the Ministry of Defence.,,"{""correctAnswer"":true,""explanation"":""The Indian Coast Guard operates under the Ministry of Defence though it is distinct from the Indian Navy.""}",10,,"[""coast guard"",""defence"",""ministry""]",NotebookLM Import,true
NLM-269,Interview Prep,Personal Interview,Easy,TrueFalse,A candidate should memorise answers to interview questions word-for-word to perform well at SSB.,,"{""correctAnswer"":false,""explanation"":""Memorised answers appear rehearsed and unnatural. The interview assesses authenticity presence and genuine self-awareness not rote recall.""}",5,,"[""interview"",""preparation"",""SSB""]",NotebookLM Import,true
NLM-270,Communication,Verbal Skills,Medium,TrueFalse,Using technical jargon extensively in the personal interview demonstrates superior knowledge.,,"{""correctAnswer"":false,""explanation"":""Clear simple confident communication is preferred in the SSB interview. Overuse of jargon can obscure meaning and suggest poor communication skills.""}",10,,"[""communication"",""interview"",""OLQ""]",NotebookLM Import,true
