id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-334,SSB Fundamentals,SSB Process,Easy,TrueFalse,The Group Testing Officer at SSB evaluates candidates only through outdoor physical tasks.,,"{""correctAnswer"":false,""explanation"":""The GTO evaluates candidates through a range of tasks including Group Discussion Group Planning Exercise Lecturette Progressive Group Task Group Obstacle Race Command Task Individual Obstacles and Final Group Task. Not all are physical outdoor tasks.""}",5,,"[""GTO"",""SSB"",""assessment""]",NotebookLM Import,true
NLM-335,General Knowledge,Indian Military,Easy,TrueFalse,The Indian Navy motto is Sham No Varuna meaning May God be our Guide.,,"{""correctAnswer"":true,""explanation"":""The motto of the Indian Navy is Sham No Varuna which is taken from the Rig Veda and means May the Lord of the Water be auspicious unto us or informally May God be our Guide.""}",5,,"[""Navy"",""motto"",""Indian military""]",NotebookLM Import,true
NLM-336,OLQs,Officer Like Qualities,Medium,TrueFalse,A candidate who scores highest on individual tasks at SSB is automatically recommended.,,"{""correctAnswer"":false,""explanation"":""Recommendation at SSB requires a holistic assessment across psychological tests GTO tasks and the personal interview. No single test determines the outcome. The board conference integrates all assessor inputs.""}",10,,"[""SSB"",""OLQ"",""recommendation""]",NotebookLM Import,true
NLM-337,General Knowledge,Indian Military,Medium,TrueFalse,The Rashtriya Indian Military College in Dehradun is a feeder institution for the National Defence Academy.,,"{""correctAnswer"":true,""explanation"":""RIMC is a residential public school in Dehradun that prepares cadets for entry into the National Defence Academy and other defence training institutions.""}",10,,"[""RIMC"",""NDA"",""feeder""]",NotebookLM Import,true
NLM-338,SSB Fundamentals,Psychological Tests,Medium,TrueFalse,In WAT a candidate is given 60 seconds per word to write a sentence.,,"{""correctAnswer"":false,""explanation"":""In WAT each word is shown for approximately 15 seconds not 60. Candidates are expected to respond quickly with their first instinctive thought making speed an important factor.""}",10,,"[""WAT"",""SSB"",""timing""]",NotebookLM Import,true
NLM-339,Leadership,Military Ethics,Hard,TrueFalse,In the Indian Army a commissioned officer can legally refuse to carry out an order that violates the Geneva Conventions.,,"{""correctAnswer"":true,""explanation"":""Under international humanitarian law and the Indian Army Act officers are bound to refuse manifestly unlawful orders including those that would violate the Geneva Conventions. Obedience to an illegal order is not a defence.""}",20,,"[""military law"",""ethics"",""Geneva""]",NotebookLM Import,true
NLM-340,General Knowledge,NDA/CDS,Medium,TrueFalse,The Air Force Academy at Dundigal in Telangana trains cadets for both flying and ground duty branches of the Indian Air Force.,,"{""correctAnswer"":true,""explanation"":""The Air Force Academy at Dundigal provides initial training to all commissioned officers of the IAF including pilot trainees and ground duty branch officers.""}",10,,"[""IAF"",""AFA"",""Dundigal""]",NotebookLM Import,true
NLM-341,SSB Fundamentals,SSB Process,Hard,TrueFalse,A candidate rejected at the SSB screening stage on Day 1 is permitted to return for the full 5-day assessment on the same attempt.,,"{""correctAnswer"":false,""explanation"":""Candidates who do not clear the Day 1 screening are sent back immediately. They cannot continue to the psychological tests and GTO tasks for that particular board and must apply again for a future SSB date.""}",20,,"[""SSB"",""screening"",""Day1""]",NotebookLM Import,true
NLM-342,General Knowledge,Indian Military,Easy,TrueFalse,Operation Vijay in 1999 was the Indian military operation to recapture peaks occupied by Pakistani forces in the Kargil region.,,"{""correctAnswer"":true,""explanation"":""Operation Vijay was the successful Indian military operation in 1999 to evict Pakistani regular soldiers and militants who had infiltrated peaks in the Kargil district of Jammu and Kashmir.""}",5,,"[""Kargil"",""Operation Vijay"",""military history""]",NotebookLM Import,true
NLM-343,Decision Making,Military Ethics,Hard,TrueFalse,The concept of mission command means a subordinate leader must follow orders exactly as given with no room for independent judgement during execution.,,"{""correctAnswer"":false,""explanation"":""Mission command empowers subordinate leaders to exercise disciplined initiative within the commander intent. They are expected to adapt to changing circumstances rather than rigidly follow orders when the situation demands a different response.""}",20,,"[""mission command"",""leadership"",""doctrine""]",NotebookLM Import,true
NLM-344,SSB Fundamentals,SSB Process,Medium,TrueFalse,The Lecturette at SSB requires a candidate to speak for exactly 3 minutes on a topic chosen from a given set.,,"{""correctAnswer"":true,""explanation"":""In the Lecturette the candidate picks one topic from four options given and delivers a 3-minute lecture to the group. It assesses communication confidence and general knowledge.""}",10,,"[""Lecturette"",""GTO"",""SSB""]",NotebookLM Import,true
