id,category,subcategory,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,fun_fact,xp_reward,time_limit,tags,exam_relevance,source,source_file,content_id,session,module,answer_type,word_limit,time_limit_seconds,xp,active,olq,notes,status
DEF-0001,Wars & Conflicts,1947-48 War,Easy,MCQ,The First Indo-Pak War (1947-48) was fought primarily over which region?,Punjab,Jammu and Kashmir,Sindh,Rann of Kutch,B,"The war began after tribal raiders backed by Pakistan invaded Kashmir, prompting the Maharaja to accede to India.","It was the first major military test for independent India's armed forces, barely months after Partition.",10,45,"{""Wars & Conflicts"",""1947-48 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0002,Wars & Conflicts,1947-48 War,Medium,MCQ,Which operation saw Indian troops airlifted to Srinagar in October 1947 to repel the invasion?,Operation Baisakhi,Operation Vijay,Operation Gulmarg,"No codename, it was an emergency airlift",D,The October 1947 airlift to Srinagar was an emergency response and is generally not referred to by a specific operational codename in official accounts.,"Sikh infantry of the 1st Battalion were among the first troops flown in, landing directly into an active battle zone.",15,45,"{""Wars & Conflicts"",""1947-48 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0003,Wars & Conflicts,1947-48 War,Medium,MCQ,The 1947-48 war ended with a ceasefire brokered by which body?,SAARC,Commonwealth of Nations,Non-Aligned Movement,United Nations,D,"The UN ceasefire came into effect on 1 January 1949, establishing what became the Line of Control.",The ceasefire line was originally called the 'Cease Fire Line' and was only renamed the 'Line of Control' after the 1971 war.,15,45,"{""Wars & Conflicts"",""1947-48 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0004,Wars & Conflicts,1962 War,Easy,MCQ,The Sino-Indian War of 1962 was fought against which country?,China,Pakistan,Nepal,Myanmar,A,The war was fought along India's disputed Himalayan border in the North-East Frontier Agency (NEFA) and Ladakh.,"The war lasted about a month, from October to November 1962, before China declared a unilateral ceasefire.",,45,"{""Wars & Conflicts"",""1962 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0005,Wars & Conflicts,1962 War,Medium,MCQ,Which Indian Army post is remembered for the last stand of Major Shaitan Singh and his company?,Nathu La,Rezang La,Bum La,Walong,B,"At Rezang La, 13 Kumaon fought to the last man against overwhelming Chinese forces in November 1962.",Major Shaitan Singh was posthumously awarded the Param Vir Chakra for his leadership in the battle.,15,45,"{""Wars & Conflicts"",""1962 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0006,Wars & Conflicts,1962 War,Medium,MCQ,"The 1962 war exposed major gaps in India's military preparedness, leading to a major expansion of which force?",The Coast Guard,The Indian Navy,The Indian Army,The Territorial Army,C,"Post-1962, India significantly expanded and modernised the Army, raising new mountain divisions for high-altitude warfare.",This period also led to the creation of specialised mountain divisions specifically trained for Himalayan terrain.,15,45,"{""Wars & Conflicts"",""1962 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0007,Wars & Conflicts,1965 War,Easy,MCQ,The Indo-Pak War of 1965 began after Pakistan launched which operation into Jammu and Kashmir?,Operation Chengiz Khan,Operation Grand Slam,Operation Searchlight,Operation Gibraltar,D,"Operation Gibraltar aimed to infiltrate forces into Kashmir to incite a local rebellion, which failed and triggered full-scale war.","Pakistan's follow-up, Operation Grand Slam, targeted Akhnoor but was halted by fierce Indian resistance.",10,45,"{""Wars & Conflicts"",""1965 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0008,Wars & Conflicts,1965 War,Medium,MCQ,Which large tank battle of the 1965 war is considered one of the biggest since World War II?,Battle of Asal Uttar,Battle of Longewala,Battle of Basantar,Battle of Chawinda,A,"Fought near Khem Karan, Asal Uttar saw Indian forces destroy a large number of Pakistani Patton tanks.",The area later earned the nickname 'Patton Nagar' due to the number of destroyed tanks left behind.,15,45,"{""Wars & Conflicts"",""1965 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0009,Wars & Conflicts,1965 War,Medium,MCQ,The 1965 war ended with the signing of which agreement?,Shimla Agreement,Tashkent Declaration,Karachi Agreement,Lahore Declaration,B,"The Tashkent Declaration was signed in January 1966, mediated by the Soviet Union.",Indian PM Lal Bahadur Shastri passed away in Tashkent shortly after signing the declaration.,15,45,"{""Wars & Conflicts"",""1965 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0010,Wars & Conflicts,1971 War,Easy,MCQ,The 1971 Indo-Pak War led to the creation of which independent nation?,Myanmar,Sri Lanka,Bangladesh,Nepal,C,"The war resulted in the liberation of East Pakistan, which became the independent nation of Bangladesh.","The war lasted just 13 days on the eastern front, one of the shortest major wars in modern history.",10,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0011,Wars & Conflicts,1971 War,Medium,MCQ,Which Indian Navy operation targeted Karachi harbour in December 1971?,Operation Meghdoot,Operation Python,Operation Cactus,Operation Trident,D,Operation Trident was a missile boat strike on Karachi harbour that sank several Pakistani vessels.,"A follow-up raid, Operation Python, struck Karachi's oil storage facilities days later.",15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0012,Wars & Conflicts,1971 War,Medium,MCQ,Who commanded the Pakistani forces that surrendered at Dhaka on 16 December 1971?,Lt Gen A.A.K. Niazi,Gen Yahya Khan,Gen Tikka Khan,Gen Zia-ul-Haq,A,"Lt Gen Niazi signed the Instrument of Surrender before Lt Gen Jagjit Singh Aurora, in what remains the largest surrender since WWII.","Over 90,000 Pakistani soldiers were taken as prisoners of war, the largest since the Second World War.",15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0013,Wars & Conflicts,1971 War,Hard,MCQ,"Which naval vessel was sunk by INS Khukri during the 1971 war, in an engagement that also saw Khukri herself lost?",PNS Ghazi,"PNS Hangor was the attacker, not the sunk vessel",No enemy vessel was sunk in that engagement,PNS Khaibar,A,"PNS Hangor, a submarine, torpedoed and sank INS Khukri off the coast of Diu; PNS Ghazi separately sank near Visakhapatnam under disputed circumstances.","INS Khukri's sinking remains the only Indian warship lost in that war, and her wreck is now a protected war memorial site.",20,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0014,Wars & Conflicts,Kargil War,Easy,MCQ,In which year did the Kargil War take place?,2001,1998,1999,1997,C,The Kargil War was fought between May and July 1999 after Pakistani soldiers and militants infiltrated Indian positions.,"The war was fought at extreme altitudes, some posts above 16,000 feet, making it one of the highest-altitude wars in history.",10,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0015,Wars & Conflicts,Kargil War,Easy,MCQ,The Indian Army's operation to evict infiltrators during the Kargil War was codenamed?,Operation Rakshak,Operation Safed Sagar,Operation Talwar,Operation Vijay,D,Operation Vijay was the Indian Army's ground offensive to reclaim the peaks occupied by infiltrators.,The Indian Air Force's simultaneous air campaign was separately codenamed Operation Safed Sagar.,10,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0016,Wars & Conflicts,Kargil War,Medium,MCQ,"Which peak's recapture, involving Captain Vikram Batra, became one of the most iconic moments of the Kargil War?",Point 5140,Tiger Hill only,Batalik sector generally,Siachen Glacier,A,Captain Vikram Batra's famous radio message 'Yeh Dil Maange More' followed the capture of Point 5140.,Captain Batra was posthumously awarded the Param Vir Chakra for his actions during the war.,15,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0017,Wars & Conflicts,Kargil War,Medium,MCQ,"Tiger Hill, one of the most strategically important peaks recaptured during Kargil, is located in which sector?",Batalik,Dras,Siachen,Turtuk,B,Tiger Hill overlooks the Srinagar-Leh highway in the Dras sector and was recaptured in early July 1999.,The recapture of Tiger Hill was a major turning point that significantly boosted the morale of Indian forces.,15,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0018,Wars & Conflicts,Kargil War,Hard,MCQ,Which committee was set up by the Indian government to review the events and lessons of the Kargil War?,Subrahmanyam Committee (part of the same review),Henderson Brooks Committee,Kargil Review Committee,Both A and C refer to the same review effort,D,"The Kargil Review Committee, chaired by K. Subrahmanyam, examined the intelligence and security failures that led to the conflict.","Its recommendations eventually contributed to the creation of the post of Chief of Defence Staff, established two decades later.",20,45,"{""Wars & Conflicts"",""Kargil War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0019,Wars & Conflicts,Siachen Conflict,Easy,MCQ,"Siachen Glacier, the site of a long-running military standoff, lies in which mountain range?",Aravalli,Himalayas (Zanskar),Pir Panjal,Karakoram,D,Siachen lies in the eastern Karakoram range and is often called the world's highest battlefield.,"Soldiers stationed there face temperatures as low as -50°C, with cold and altitude causing more casualties historically than combat.",10,45,"{""Wars & Conflicts"",""Siachen Conflict""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0020,Wars & Conflicts,Siachen Conflict,Medium,MCQ,India secured control of the Siachen Glacier through which 1984 operation?,Operation Meghdoot,Operation Rajiv,Operation Vijay,Operation Falcon,A,Operation Meghdoot was launched in April 1984 to preempt a Pakistani move onto the glacier.,It remains one of the few military operations conducted at such extreme altitude and cold anywhere in the world.,15,45,"{""Wars & Conflicts"",""Siachen Conflict""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0021,Wars & Conflicts,1971 War,Medium,MCQ,"The Battle of Longewala in the western sector of the 1971 war saw a small Indian post hold off a large Pakistani armoured assault, aided heavily by which service?",The Indian Navy,The Indian Air Force,The Coast Guard,"The BSF alone, without air support",B,IAF Hunter aircraft played a decisive role in destroying Pakistani tanks advancing on the Longewala post.,"The battle inspired the popular Bollywood film Border, though the film dramatizes several details.",15,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0022,Wars & Conflicts,1971 War,Hard,MCQ,Field Marshal Sam Manekshaw served as which position during the 1971 war?,Defence Minister,Chief of Defence Staff,Chief of the Army Staff,Chief of the Air Staff,C,Sam Manekshaw led the Indian Army during the 1971 war and later became independent India's first Field Marshal.,"He famously advised political leaders to delay the war until conditions favoured India, showcasing his strategic caution.",20,45,"{""Wars & Conflicts"",""1971 War""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0023,Wars & Conflicts,Wars - General,Medium,MCQ,Which of these Indo-Pak wars is generally considered the shortest in duration?,Kargil War,1965 War,1947-48 War,1971 War,D,"The 1971 war's eastern front concluded in just 13 days, from 3 to 16 December 1971.","Despite its short duration, it remains the most decisive of the India-Pakistan wars in terms of territorial and political outcome.",15,45,"{""Wars & Conflicts"",""Wars - General""}",NDA/CDS/SSB,AI-generated for Forge platform,,,,,,,,,,,,
