id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-301,Leadership,Quick Response,Medium,RapidResponse,You are the group leader during a GTO command task and realise midway that the approach you chose will not work. What do you do?,,"{""options"":[""Continue with the original plan to appear decisive"",""Quickly reassess and shift to a workable approach without losing team momentum"",""Hand over command to another member"",""Stop and wait for the GTO to intervene""],""correctIndex"":1,""explanation"":""Adaptability is a core OLQ. A leader who recognises a failing plan and pivots calmly scores higher than one who rigidly persists or surrenders command.""}",10,20,"[""GTO"",""leadership"",""adaptability""]",NotebookLM Import,true
NLM-302,Decision Making,Quick Response,Hard,RapidResponse,During a group discussion at SSB the group is about to agree on a factually incorrect solution due to time pressure. What is your best move?,,"{""options"":[""Stay silent to avoid conflict and let the group decide"",""Politely but firmly present the correct information with brief reasoning"",""Loudly disagree to stop the group"",""Wait until after the discussion to raise the issue""],""correctIndex"":1,""explanation"":""Effective Intelligence and Moral Courage together require correcting a factual error even under time pressure. Staying silent or waiting too long serves neither the group nor the assessors.""}",15,20,"[""GD"",""OLQ"",""effective intelligence""]",NotebookLM Import,true
NLM-303,OLQs,Quick Response,Easy,RapidResponse,A quieter group member offers a good suggestion during a GTO task but is being ignored by the rest. As a participant what should you do?,,"{""options"":[""Ignore it as it is not your responsibility to manage others"",""Amplify the suggestion by acknowledging it and building on it"",""Take credit for the idea yourself"",""Tell the group to listen more carefully in general""],""correctIndex"":1,""explanation"":""Social Adaptability and the Ability to Influence the Group include ensuring good ideas get heard regardless of who suggested them. This demonstrates maturity and team orientation.""}",10,20,"[""GTO"",""OLQ"",""social adaptability""]",NotebookLM Import,true
NLM-304,Communication,Quick Response,Medium,RapidResponse,You are giving a lecture to your group at SSB and realise two minutes in that you have misquoted a fact. What do you do?,,"{""options"":[""Continue without acknowledging the error to avoid losing confidence"",""Correct yourself immediately and continue with the accurate information"",""Stop the lecture and restart from the beginning"",""Ask another group member to finish the lecture""],""correctIndex"":1,""explanation"":""Integrity and composure under pressure are both assessed. Promptly correcting an error demonstrates honesty and self-awareness. Continuing with false information damages credibility further.""}",10,20,"[""communication"",""integrity"",""SSB""]",NotebookLM Import,true
NLM-305,Leadership,Quick Response,Hard,RapidResponse,You are the nominated commander in a command task. One of your team members is clearly stronger than you physically and keeps taking over. What do you do?,,"{""options"":[""Let them take over to ensure task completion"",""Assert your command clearly and assign them a specific role that uses their strength"",""Complain to the GTO"",""Complete the task alone without involving the team""],""correctIndex"":1,""explanation"":""A commander manages the team not the task. Channelling a dominant member into a defined role demonstrates authority maturity and Organising Ability.""}",15,20,"[""GTO"",""command task"",""leadership""]",NotebookLM Import,true
NLM-306,Decision Making,Quick Response,Medium,RapidResponse,You are asked a personal interview question about a weakness. What is the strongest approach?,,"{""options"":[""Claim you have no significant weaknesses"",""Name a weakness that is actually a disguised strength"",""Honestly name a real weakness and briefly describe what you are doing to address it"",""Deflect the question by asking what kind of answer the interviewer wants""],""correctIndex"":2,""explanation"":""The SSB interview assesses self-awareness and honesty. Claiming no weaknesses appears dishonest. Naming a disguised strength appears evasive. A genuine weakness with a corrective action shows both integrity and growth mindset.""}",10,20,"[""interview"",""self-awareness"",""SSB""]",NotebookLM Import,true
NLM-307,OLQs,Quick Response,Hard,RapidResponse,During a GTO group task another candidate is clearly trying to undermine your suggestions in front of the team. What is the most effective response?,,"{""options"":[""Argue back forcefully to establish dominance"",""Stay composed respond with reasoning and redirect focus to the task objective"",""Ignore them entirely and proceed with your plan"",""Report the behaviour to the GTO immediately""],""correctIndex"":1,""explanation"":""Emotional stability and social effectiveness are both OLQs. Arguing back or ignoring are both weak responses. Staying composed and redirecting to the mission demonstrates officer-level maturity.""}",15,20,"[""GTO"",""OLQ"",""emotional stability""]",NotebookLM Import,true
NLM-308,General Knowledge,Quick Response,Easy,RapidResponse,A fellow candidate at SSB asks you to share your personal information form details so they can align their stories. What do you do?,,"{""options"":[""Share the information to build team solidarity"",""Politely decline and explain that the PIF must reflect individual backgrounds"",""Report them to the assessment board immediately"",""Give partial information to appear cooperative""],""correctIndex"":1,""explanation"":""Integrity is non-negotiable. Sharing PIF data to align stories constitutes misrepresentation. Politely declining without escalating unnecessarily reflects the balance of integrity and social tact expected of an officer.""}",10,20,"[""SSB"",""integrity"",""PIF""]",NotebookLM Import,true
NLM-309,Leadership,Quick Response,Medium,RapidResponse,Your group has been given 20 minutes for a group discussion but has not agreed on a conclusion after 18 minutes. What should you do?,,"{""options"":[""Let the discussion continue and accept running over time"",""Quickly summarise the points of agreement and steer the group toward a conclusion"",""Force a vote to decide immediately"",""Blame the group for poor time management""],""correctIndex"":1,""explanation"":""Time management and the ability to influence the group are key OLQs. Summarising common ground and steering to a conclusion under pressure demonstrates practical leadership.""}",10,20,"[""GD"",""leadership"",""time management""]",NotebookLM Import,true
NLM-310,Decision Making,Quick Response,Hard,RapidResponse,You are on a field exercise and realise your map reading was wrong — the group has taken a 10-minute detour. What is your immediate action?,,"{""options"":[""Continue in the same direction hoping to find a landmark"",""Acknowledge the error to the group recalibrate and give clear new directions"",""Blame bad map printing and continue guessing"",""Ask another member to take over navigation without explanation""],""correctIndex"":1,""explanation"":""Acknowledging errors promptly and correcting course is a mark of Courage and Effective Intelligence. Concealing an error or silently handing off leadership damages group trust more than the error itself.""}",15,20,"[""leadership"",""decision making"",""field exercise""]",NotebookLM Import,true
NLM-311,Communication,Quick Response,Easy,RapidResponse,During the group discussion an assessor is observing silently and the group has gone off topic. What do you do?,,"{""options"":[""Wait for the assessor to intervene"",""Gently bring the group back to the topic with a connecting remark"",""Point out loudly that the group is off topic"",""Stay quiet as it is not your responsibility""],""correctIndex"":1,""explanation"":""Initiative and the Ability to Influence the Group apply here. Gently steering the discussion back without embarrassing others demonstrates the socially skilled leadership expected at SSB.""}",10,20,"[""GD"",""communication"",""initiative""]",NotebookLM Import,true
NLM-312,OLQs,Quick Response,Medium,RapidResponse,You have been performing well at SSB but notice a fellow candidate is visibly stressed and losing composure. What do you do?,,"{""options"":[""Use their distraction to outperform them"",""Offer brief quiet encouragement during a break without drawing attention to their state"",""Tell the GTO so they can be helped"",""Ignore it as the assessment is individual""],""correctIndex"":1,""explanation"":""Social Adaptability and genuine concern for others are assessed throughout SSB not just during tasks. A brief private word of encouragement demonstrates the human dimension of leadership without disrupting the process.""}",10,20,"[""OLQ"",""social adaptability"",""SSB""]",NotebookLM Import,true
NLM-313,General Knowledge,Quick Response,Hard,RapidResponse,You are asked in the personal interview why India should maintain a large conventional military when nuclear deterrence exists. How do you respond?,,"{""options"":[""Conventional forces are outdated and nuclear weapons are sufficient"",""Conventional forces handle sub-threshold threats deterrence failures peacekeeping and disaster response that nuclear weapons cannot"",""India should reduce military spending and focus on diplomacy"",""Nuclear deterrence only works between nuclear states so conventional forces are needed against non-state actors""],""correctIndex"":1,""explanation"":""The comprehensive answer covers the spectrum of threats. Nuclear deterrence handles existential threats but cannot address insurgencies border skirmishes peacekeeping or disaster relief. Option D is partially correct but incomplete.""}",15,20,"[""interview"",""defence"",""military strategy""]",NotebookLM Import,true
NLM-314,Leadership,Quick Response,Medium,RapidResponse,During a progressive group task one member refuses to follow the group plan and insists on their own approach despite the group having already decided. What do you do?,,"{""options"":[""Let them proceed alone so the group can move on"",""Calmly restate the agreed plan explain why it was chosen and invite them to contribute within it"",""Remove them from active participation"",""Escalate immediately to the GTO""],""correctIndex"":1,""explanation"":""Handling dissent constructively is a key leadership quality. The approach must preserve both group cohesion and the dissenting member dignity while keeping the mission on track.""}",10,20,"[""GTO"",""leadership"",""group dynamics""]",NotebookLM Import,true
