id,source_file,category,subcategory,question_type,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
NLM-222,The_Forge_Questions_221_300_CLEAN.csv,Psychology,WAT,SingleWord,Hard,Word: Responsibility,,,,,Responsible people complete tasks without supervision.,Shows reliability and accountability.
NLM-224,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Commands,SingleWord,Medium,The Eastern Naval Command is headquartered at ________.,,,,,Visakhapatnam,It is India's primary eastern naval headquarters.
NLM-225,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Number Series,MCQ,Hard,"1, 4, 9, 16, 25, ?",30,36,49,64,B,Perfect squares.
NLM-227,The_Forge_Questions_221_300_CLEAN.csv,Interview,Personal Interview,Subjective,Hard,You are asked about a major mistake in life.,,,,,B,Honesty and learning attitude matter.
NLM-228,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Coding-Decoding,MCQ,Hard,"If PEACE is coded as QFBDF, then WAR is coded as:",XBS,XCS,YBS,YCS,A,Each letter shifted +1.
NLM-231,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Analogy,MCQ,Medium,Map : Navigation :: Dictionary : ?,Grammar,Vocabulary,Pronunciation,Writing,B,Dictionary helps with words.
NLM-232,The_Forge_Questions_221_300_CLEAN.csv,Military GK,Aircraft,SingleWord,Medium,The Chinook helicopter is mainly used for ________ transport.,,,,,Heavy-lift,Chinook specializes in heavy cargo transport.
NLM-233,The_Forge_Questions_221_300_CLEAN.csv,Psychology,Self Description,SingleWord,Medium,How do your teachers describe you?,,,,,Dependable and willing to learn.,
NLM-235,The_Forge_Questions_221_300_CLEAN.csv,OIR Verbal,Alphabet Series,MCQ,Hard,"B, E, I, N, T, ?",Z,Y,A,U,C,"+3,+4,+5,+6,+7"
NLM-237,The_Forge_Questions_221_300_CLEAN.csv,Interview,CIQ,SingleWord,Medium,What would your best friend say is your strongest quality?,,,,,Trustworthiness.,
