forge_id,content_type,category,title_or_question,difficulty,status
SD001,Self Description,Self Opinion,What do you think of yourself?,Medium,approved
SD002,Self Description,Parents Opinion,What do your parents think of you?,Medium,approved
SD003,Self Description,Friends Opinion,What do your friends think of you?,Medium,approved
SD004,Self Description,Teachers Opinion,What do your teachers or employer think of you?,Medium,approved
SD005,Self Description,Life Goals,What kind of person do you want to become in life?,Medium,approved
SD006,Self Description,Life Goals,What qualities would you like to improve in yourself?,Medium,approved
SD007,Self Description,Friends Opinion,What is one quality your best friends would like you to change?,Medium,approved
SD008,Self Description,Parents Opinion,What two things does your mother advise you to improve?,Medium,approved
SD009,Self Description,Friends Opinion,What suggestions do your close friends give you for self-improvement?,Medium,approved
SD010,Self Description,Parents Opinion,"If your family could change one quality in you, what would it be?",Medium,approved
LECT0001,Lecturette,Oil,Global Oil Crisis,High,approved
LECT0002,Lecturette,Power,Nuclear Energy / Nuclear power,High,approved
LECT0003,Lecturette,Pakistan,Indo-Pak Peace Process,High,approved
LECT0004,Lecturette,USA,Indo-US Relations / India –US relationship :future,High,approved
LECT0005,Lecturette,WMD,Weapons of Mass Destruction,High,approved
LECT0006,Lecturette,Economy,Indian Economy,High,approved
LECT0007,Lecturette,Nuclear,Indo-US Nuclear Deal,High,approved
LECT0008,Lecturette,Pakistan,Indo-Pak Relations,High,approved
LECT0009,Lecturette,War,Wars with Pakistan,High,approved
LECT0010,Lecturette,Energy,Energy Crisis,High,approved
LECT0011,Lecturette,Budget,Defence Budget,High,approved
LECT0012,Lecturette,Development,India as a Superpower,High,approved
LECT0013,Lecturette,USA,COMCASA,High,approved
LECT0014,Lecturette,China,String of Pearls,High,approved
LECT0015,Lecturette,IOR,Indian Ocean Region,High,approved
LECT0016,Lecturette,UNSC,UN Security Council,High,approved
LECT0017,Lecturette,Cybersecurity,Ethical Hacking,High,approved
LECT0018,Lecturette,Law,Food Security Bill,High,approved
LECT0019,Lecturette,China,Indo-China Relations,High,approved
LECT0020,Lecturette,Cleanliness,Swachh Bharat Abhiyan,High,approved
LECT0021,Lecturette,Digital,Digital India Mission,High,approved
LECT0022,Lecturette,Economy,Demonetisation,High,approved
LECT0023,Lecturette,Urbanization,Smart City Project,High,approved
LECT0024,Lecturette,Transport,Bullet Train,High,approved
LECT0025,Lecturette,Citizenship,NRC,High,approved
LECT0026,Lecturette,Borders,India’s neighbors,High,approved
LECT0027,Lecturette,Security,Terrorism a global threat / Terrorism,High,approved
LECT0028,Lecturette,Law,Judicial reforms,High,approved
LECT0029,Lecturette,Law,Police reforms,High,approved
LECT0030,Lecturette,Economy,Globalization,High,approved
LECT0031,Lecturette,Borders,Kashmir problem,High,approved
LECT0032,Lecturette,Nuclear,CTBT and India,High,approved
LECT0033,Lecturette,Law,Uniform civil code,High,approved
LECT0034,Lecturette,Science,Cloning,High,approved
LECT0035,Lecturette,Water,River water disputes,High,approved
LECT0036,Lecturette,Economy,Inflation,High,approved
LECT0037,Lecturette,Economy,FDI,High,approved
LECT0038,Lecturette,Politics,Do we need more states?,High,approved
LECT0039,Lecturette,Military,AFSPA,High,approved
LECT0040,Lecturette,Kashmir,Article 370,High,approved
LECT0041,Lecturette,Security,Naxalism problem,High,approved
LECT0042,Lecturette,South Asia,SAARC,High,approved
LECT0043,Lecturette,Religion,Indian Religion,Medium,approved
LECT0044,Lecturette,Culture,Indian Culture,Medium,approved
LECT0045,Lecturette,Women,Women in Society / Status of women in India,Medium,approved
LECT0046,Lecturette,Village,Rural Society,Medium,approved
LECT0047,Lecturette,Health,Smoking by Women,Medium,approved
LECT0048,Lecturette,Peace,Communal Harmony,Medium,approved
LECT0049,Lecturette,Politics,Democracy,Medium,approved
LECT0050,Lecturette,Media,Importance of TV / Role of media,Medium,approved
LECT0051,Lecturette,Farming,Agriculture in India,Medium,approved
LECT0052,Lecturette,Population,Family Planning / Population explosion,Medium,approved
LECT0053,Lecturette,Environment,Global Warming,Medium,approved
LECT0054,Lecturette,Education,Sex Education,Medium,approved
LECT0055,Lecturette,Internet,Social Networking Sites,Medium,approved
LECT0056,Lecturette,Fashion,Indian Fashion Industry,Medium,approved
LECT0057,Lecturette,Finance,E-banking,Medium,approved
LECT0058,Lecturette,Education,Brain Drain,Medium,approved
LECT0059,Lecturette,Wildlife,Declining Tiger Population in India,Medium,approved
LECT0060,Lecturette,Women,Women in Corporate India,Medium,approved
LECT0061,Lecturette,Women,Women in Armed Forces,Medium,approved
LECT0062,Lecturette,Society,Social Issues of India,Medium,approved
LECT0063,Lecturette,Crime,Crime Against Women,Medium,approved
LECT0064,Lecturette,Economy,Unemployment / Unemployment in India,Medium,approved
LECT0065,Lecturette,Health,Primary Healthcare in India,Medium,approved
LECT0066,Lecturette,Movies,Cinema Today,Medium,approved
LECT0067,Lecturette,Bollywood,Indian Film Industry,Medium,approved
LECT0068,Lecturette,TV,Reality Shows,Medium,approved
LECT0069,Lecturette,Education,Privatisation of Education,Medium,approved
LECT0070,Lecturette,Education,Literacy Rate in India,Medium,approved
LECT0071,Lecturette,Health,Child Mortality,Medium,approved
LECT0072,Lecturette,Women,Declining Sex Ratio,Medium,approved
