id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-241,SSB Fundamentals,SSB Process,Easy,Numeric,How many days does the standard SSB interview process last?,,"{""correctAnswer"":5,""tolerance"":0,""unit"":""days"",""explanation"":""The SSB is a 5-day process: Day 1 Screening Days 2-4 Psychological and GTO tasks Day 5 Conference.""}",5,,"[""SSB"",""process"",""duration""]",NotebookLM Import,true
NLM-242,SSB Fundamentals,SSB Process,Easy,Numeric,How many Officer Like Qualities are assessed during the SSB?,,"{""correctAnswer"":15,""tolerance"":0,""unit"":""qualities"",""explanation"":""The Services Selection Board assesses 15 Officer Like Qualities grouped under Personality Social Dynamic and Functional clusters.""}",5,,"[""OLQ"",""SSB"",""assessment""]",NotebookLM Import,true
NLM-243,General Knowledge,NDA,Easy,Numeric,How many wings does the National Defence Academy have for the three services?,,"{""correctAnswer"":3,""tolerance"":0,""unit"":""wings"",""explanation"":""NDA has three wings: Army Navy and Air Force corresponding to the three services of the Indian Armed Forces.""}",5,,"[""NDA"",""wings"",""structure""]",NotebookLM Import,true
NLM-244,GTO Tasks,Group Tasks,Easy,Numeric,How many individual obstacles are typically present in the Individual Obstacles task at SSB?,,"{""correctAnswer"":10,""tolerance"":0,""unit"":""obstacles"",""explanation"":""The Individual Obstacles task typically has 10 obstacles of increasing difficulty for each candidate to attempt.""}",5,,"[""GTO"",""individual obstacles"",""SSB""]",NotebookLM Import,true
NLM-245,General Knowledge,Indian Military,Medium,Numeric,Approximately how many personnel are in an Indian Army para special forces battalion?,,"{""correctAnswer"":800,""tolerance"":100,""unit"":""personnel"",""explanation"":""A para special forces battalion has approximately 800 personnel though exact operational strength is classified.""}",10,,"[""Army"",""para sf"",""special forces""]",NotebookLM Import,true
NLM-246,SSB Fundamentals,Psychological Tests,Easy,Numeric,How many words are shown to the candidate during the WAT?,,"{""correctAnswer"":60,""tolerance"":0,""unit"":""words"",""explanation"":""60 words are shown at approximately 15-second intervals during the Word Association Test.""}",5,,"[""WAT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-247,General Knowledge,NDA,Medium,Numeric,In how many years is the NDA programme completed before cadets join their respective service academies?,,"{""correctAnswer"":3,""tolerance"":0,""unit"":""years"",""explanation"":""The NDA course is a 3-year programme after which cadets join IMA INA or AFA for final training.""}",10,,"[""NDA"",""duration"",""training""]",NotebookLM Import,true
NLM-248,General Knowledge,Indian Military,Medium,Numeric,How many permanent members does the United Nations Security Council have?,,"{""correctAnswer"":5,""tolerance"":0,""unit"":""members"",""explanation"":""The UNSC has 5 permanent members: USA UK France Russia and China each holding veto power.""}",10,,"[""UN"",""UNSC"",""international""]",NotebookLM Import,true
NLM-249,SSB Fundamentals,SSB Process,Medium,Numeric,How many stories does a candidate write during TAT in the SSB psychological tests?,,"{""correctAnswer"":12,""tolerance"":0,""unit"":""stories"",""explanation"":""In TAT 11 pictures are shown and 1 blank slide is given totalling 12 stories written by the candidate.""}",10,,"[""TAT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-250,General Knowledge,Indian Military,Hard,Numeric,In which year was the Indian Military Academy established in Dehradun?,,"{""correctAnswer"":1932,""tolerance"":0,""unit"":""year"",""explanation"":""The Indian Military Academy was established on 1 October 1932 in Dehradun.""}",20,,"[""IMA"",""history"",""military academy""]",NotebookLM Import,true
NLM-251,General Knowledge,NDA,Hard,Numeric,In which year was the National Defence Academy established?,,"{""correctAnswer"":1954,""tolerance"":0,""unit"":""year"",""explanation"":""NDA was established on 7 December 1954 following the merger of three service academies.""}",20,,"[""NDA"",""history"",""founding""]",NotebookLM Import,true
NLM-252,General Knowledge,Indian Military,Medium,Numeric,How many Army Commands does the Indian Army have?,,"{""correctAnswer"":7,""tolerance"":0,""unit"":""commands"",""explanation"":""The Indian Army has 7 Commands: Northern Western South-Western Southern Eastern Central and Training Command.""}",10,,"[""Army"",""commands"",""organisation""]",NotebookLM Import,true
NLM-253,General Knowledge,Indian Military,Hard,Numeric,What is the approximate cyclic rate of fire of the INSAS assault rifle in rounds per minute?,,"{""correctAnswer"":650,""tolerance"":50,""unit"":""rounds per minute"",""explanation"":""The INSAS rifle has a cyclic rate of fire of approximately 650 rounds per minute in automatic mode.""}",20,,"[""INSAS"",""weapons"",""infantry""]",NotebookLM Import,true
NLM-254,General Knowledge,NDA,Easy,Numeric,What is the minimum age in years for appearing in the NDA written examination?,,"{""correctAnswer"":16,""tolerance"":0,""unit"":""years"",""explanation"":""Candidates must be between 16.5 and 19.5 years of age to apply for the NDA exam.""}",5,,"[""NDA"",""eligibility"",""age""]",NotebookLM Import,true
NLM-255,GTO Tasks,Group Tasks,Medium,Numeric,How many members typically form a group for GTO tasks at SSB?,,"{""correctAnswer"":10,""tolerance"":2,""unit"":""members"",""explanation"":""GTO groups typically consist of 8-12 candidates with 10 being the standard size.""}",10,,"[""GTO"",""group"",""SSB""]",NotebookLM Import,true
