id,title,category,mission_type,week_number,unlock_day,xp_reward,subtype,source_type,content
W1D1-COM,Group Project Conflict,Communication,Poll + Reasoning,1,1,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""You're in a college group project. Your idea gets ignored by the team. The deadline is tomorrow."",""question"":""What do you do?"",""options"":[""Speak up immediately and push my idea"",""Accept the team decision and work on execution"",""Suggest revisiting all ideas one final time"",""Do the work myself without discussion""],""requires_reasoning"":true}"
W1D1-CONF,Moments of Silence,Confidence,Reflect & Write,1,1,40,reflect,Daily life,"{""type"":""Reflect & Write"",""prompt"":""Think of one moment this week where you held back from saying something you believed was right. Why did you stay quiet — and what would you say now?"",""min_words"":30}"
W1D1-LEAD,Indian Military Leaders,Leadership,Reflect & Write,1,1,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — You have 20 seconds: Name one Indian military leader who demonstrated exceptional leadership under crisis and state what specifically they did."",""time_limit"":20,""is_timed"":true}"
W1D1-AWR,Defence Budget Poll,Awareness,Poll + Reasoning,1,1,40,poll,SSB,"{""type"":""Poll + Reasoning"",""question"":""POLL: Should India increase its defence budget to 3% of GDP (from ~2%)?"",""options"":[""Yes - India faces growing security threats"",""No - Resources needed for development"",""Yes but gradually over 5 years"",""No - Better spending efficiency matters more""],""requires_reasoning"":true,""reasoning_prompt"":""Pick a side and give your strongest argument in 2 sentences.""}"
W1D1-OT,Understanding Intent,Officer Thinking,Daily Challenge,1,1,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Today, when someone gives you a task or instruction, before doing it — pause and ask: 'What is the intent behind this, not just the task itself?'"",""completion_criteria"":""Note what you discover.""}"
W1D2-CONF,Average Candidate Response,Confidence,Poll + Reasoning,1,2,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""Your SSB interviewer leans forward and says: 'You seem like a very average candidate. Why should we select you over the hundreds of others?' You have 30 seconds."",""question"":""How do you respond?"",""options"":[""Highlight unique experiences"",""Acknowledge average metrics then pivot to values"",""Challenge the premise respectfully"",""Demonstrate leadership through the response itself""],""requires_reasoning"":true}"
W1D2-COM,Speak Last Challenge,Communication,Daily Challenge,1,2,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Have one conversation today where you speak LAST — let everyone else in the room/group chat finish before you respond."",""completion_criteria"":""Observe what you notice that you'd have missed by jumping in.""}"
W1D2-AWR,Operation Sindoor,Awareness,Reflect & Write,1,2,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 25 seconds: What is Operation Sindoor and what does it signal about India's current strategic doctrine?"",""time_limit"":25,""is_timed"":true}"
W1D2-LEAD,Study Group Freeloader,Leadership,Poll + Reasoning,1,2,70,dilemma,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""DILEMMA: Your study group has a member who consistently doesn't contribute but still gets credit. The rest of the group is frustrated and looking to you to handle it."",""question"":""What do you do?"",""options"":[""Confront the person privately"",""Raise it with the entire group"",""Talk to the instructor"",""Set clear contribution rules going forward""],""requires_reasoning"":true}"
W1D2-OT,Wrong Decision Analysis,Officer Thinking,Reflect & Write,1,2,40,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""In 3 sentences, describe a time you made a wrong decision. What made it wrong — poor information, poor reasoning, or poor values? What would you change?"",""min_words"":30}"
W1D3-LEAD,GTO Stuck Group,Leadership,Poll + Reasoning,1,3,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""In a GTO Progressive Group Task, your group is stuck and time is running out. The appointed leader has gone quiet. No one is acting."",""question"":""What do you do?"",""options"":[""Take charge immediately"",""Ask the leader a direct question"",""Suggest one specific next step"",""Start executing a solution yourself""],""requires_reasoning"":true}"
W1D3-COM,Friend Wrong Decision,Communication,Poll + Reasoning,1,3,40,poll,Daily life,"{""type"":""Poll + Reasoning"",""question"":""POLL: A friend is making a life decision you think is wrong (career choice, relationship, etc.). Do you say something or stay out of it?"",""options"":[""Say something - friends speak truth"",""Stay out - it's their life"",""Ask questions without judging"",""Offer perspective if asked""],""requires_reasoning"":true,""reasoning_prompt"":""Pick a side and defend it.""}"
W1D3-CONF,Initiate Conversation,Confidence,Daily Challenge,1,3,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Today, initiate a conversation with someone you normally wouldn't — a professor, a senior, a stranger in a shared space. Start the conversation."",""completion_criteria"":""Note how it goes.""}"
W1D3-AWR,Geopolitical Event Analysis,Awareness,Reflect & Write,1,3,40,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""Name one current geopolitical event affecting India's security. In 3 sentences: what happened, why it matters to India, and what India's likely response calculus is."",""min_words"":30}"
W1D3-OT,Three Services,Officer Thinking,Reflect & Write,1,3,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 20 seconds: What are the 3 services of the Indian Armed Forces and name one unique operational role of each?"",""time_limit"":20,""is_timed"":true}"
W1D4-OT,Ethics: Cheating Friend,Officer Thinking,Poll + Reasoning,1,4,90,dilemma,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""ETHICS DILEMMA: You are the only witness to a fellow cadet cheating on an important academy exam. He's your closest friend and will be expelled if reported."",""question"":""What do you do?"",""options"":[""Report immediately - integrity first"",""Confront friend privately first"",""Report anonymously"",""Stay silent - not my responsibility""],""requires_reasoning"":true}"
W1D4-COM,Difficult Conversation,Communication,Reflect & Write,1,4,40,reflect,Daily life,"{""type"":""Reflect & Write"",""prompt"":""Think of the last time you had a difficult conversation (with a parent, friend, teacher). Write 3 sentences: what you said, what you wish you'd said differently, and why."",""min_words"":30}"
W1D4-CONF,Presentation Projector Fails,Confidence,Poll + Reasoning,1,4,50,scenario,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""You walk into a room for a presentation and the projector fails. 20 people are watching. You have no slides."",""question"":""What do you do in the first 15 seconds?"",""options"":[""Acknowledge it with humor and proceed verbally"",""Ask for 5 minutes to fix it"",""Start drawing on whiteboard"",""Ask audience to gather around your laptop""],""requires_reasoning"":true}"
W1D4-AWR,Read Defence Editorial,Awareness,Daily Challenge,1,4,60,challenge,SSB,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Read one editorial today from a national newspaper (The Hindu, Indian Express, or Hindustan Times) about defence or foreign policy."",""completion_criteria"":""Summarise the argument in 3 bullet points.""}"
W1D4-LEAD,Leader Should Be Liked,Leadership,Poll + Reasoning,1,4,40,poll,Daily life,"{""type"":""Poll + Reasoning"",""question"":""POLL: A leader should always be liked by their team. Agree or disagree?"",""options"":[""Agree - likability builds trust"",""Disagree - respect matters more"",""Agree but with boundaries"",""Disagree - results matter most""],""requires_reasoning"":true,""reasoning_prompt"":""Give your strongest 2-sentence argument.""}"
W1D5-AWR,Aksai Chin Question,Awareness,Poll + Reasoning,1,5,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""In your PI, the interviewer asks: 'India and China both claim Aksai Chin. Who is right?' You have to answer — not dodge."",""question"":""How do you respond?"",""options"":[""India is right - historical claim"",""Neither fully right - territorial disputes are complex"",""India is right based on 1947 accession"",""Explain India's position without claiming absolute right""],""requires_reasoning"":true}"
W1D5-OT,Autopilot Decision,Officer Thinking,Reflect & Write,1,5,40,reflect,Daily life,"{""type"":""Reflect & Write"",""prompt"":""Write down one decision you made this week on autopilot — without really thinking. Looking back, was it the right call? What would a more deliberate version of you have decided?"",""min_words"":30}"
W1D5-COM,Lecturette Opening,Communication,Reflect & Write,1,5,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 20 seconds: Give the opening 2 sentences of a lecturette on 'The role of technology in modern warfare.' Make them memorable."",""time_limit"":20,""is_timed"":true}"
W1D5-CONF,Admit I Don't Know,Confidence,Poll + Reasoning,1,5,40,poll,Daily life,"{""type"":""Poll + Reasoning"",""question"":""POLL: Is it okay to admit 'I don't know' in an SSB interview?"",""options"":[""Yes - honesty shows confidence"",""No - shows lack of preparation"",""Yes but with plan to find out"",""No - find a related answer""],""requires_reasoning"":true,""reasoning_prompt"":""Pick a side with reasoning.""}"
W1D5-LEAD,Delegation Practice,Leadership,Daily Challenge,1,5,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Today, delegate something you would normally do yourself — to a sibling, friend, or teammate. Brief them clearly. Then let them do it without hovering."",""completion_criteria"":""Note what happens.""}"
W1D6-CONF,Friend Not Selected,Confidence,Poll + Reasoning,1,6,80,dilemma,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""DILEMMA: You are selected for SSB but your close friend, who is more physically fit, is not. He's devastated. He tells you 'You got lucky — I was clearly better.'"",""question"":""What do you say?"",""options"":[""Acknowledge his pain, don't defend selection"",""Explain that fitness isn't everything"",""Say nothing - let him process"",""Challenge his framing respectfully""],""requires_reasoning"":true}"
W1D6-LEAD,Leader You Admire,Leadership,Reflect & Write,1,6,40,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""In 3 sentences, describe the leader you admire most — in your personal life (not a historical figure). What one quality of theirs would you most like to develop, and why?"",""min_words"":30}"
W1D6-AWR,Viral Nuclear Test,Awareness,Poll + Reasoning,1,6,50,scenario,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""A friend sends you a viral social media post claiming India conducted a secret nuclear test. It sounds plausible. You're in a group chat with 200 people."",""question"":""What do you do?"",""options"":[""Share it if it seems credible"",""Verify through official sources first"",""Ignore it completely"",""Ask the friend for their source""],""requires_reasoning"":true}"
W1D6-COM,Uniform Civil Code Lecturette,Communication,Poll + Reasoning,1,6,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""You're giving a 3-minute lecturette on 'Should India have a uniform civil code?' You personally have a strong opinion."",""question"":""How do you structure the talk?"",""options"":[""Present both sides equally then state position"",""State position upfront then defend it"",""Present both sides, avoid taking position"",""Focus on one side, acknowledge other briefly""],""requires_reasoning"":true}"
W1D6-OT,Decision Rating,Officer Thinking,Daily Challenge,1,6,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Before you sleep tonight, write down 3 decisions you made today — rate each as Good / Acceptable / Poor — and write one sentence on why."",""completion_criteria"":""No justification, just honest rating.""}"
W1D7-OT,NCC Camp Morale,Officer Thinking,Poll + Reasoning,1,7,60,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""You are an NCC cadet leading a 5-day camp. On Day 3, you notice team morale is dropping — people are tired, irritable, and one cadet hasn't eaten properly."",""question"":""What do you do?"",""options"":[""Call a team meeting immediately"",""Address the cadet's food issue first"",""Inject energy with a group activity"",""Talk to senior cadets privately first""],""requires_reasoning"":true}"
W1D7-COM,Hard to Communicate,Communication,Reflect & Write,1,7,40,reflect,Daily life,"{""type"":""Reflect & Write"",""prompt"":""Think of one person in your life who is hard to communicate with. Write 2 sentences on what makes it hard — and 2 sentences on what YOU could do differently (not what they should change)."",""min_words"":30}"
W1D7-CONF,Why Join Indian Army,Confidence,Reflect & Write,1,7,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 20 seconds: Complete this sentence with the most powerful answer you can: 'I want to join the Indian Army because...' — no clichés allowed."",""time_limit"":20,""is_timed"":true}"
W1D7-LEAD,Sibling Wrong Decision,Leadership,Poll + Reasoning,1,7,50,scenario,Daily life,"{""type"":""Poll + Reasoning"",""scenario"":""Your younger sibling is about to make a decision you know from experience is a mistake. But they haven't asked for your advice."",""question"":""Do you speak up?"",""options"":[""Yes - share the lesson learned"",""No - let them learn themselves"",""Yes but frame as question"",""Wait until they ask""],""requires_reasoning"":true}"
W1D7-AWR,Week 1 Review,Awareness,Reflect & Write,1,7,40,reflect,SSB,"{""type"":""Reflect & Write"",""prompt"":""WEEK REVIEW: Name one thing you learned about India's defence forces this week — and one gap in your knowledge you discovered. What's your plan to fill it?"",""min_words"":30}"
W2D1-GEO,India's Biggest Challenge,Geopolitics,Poll + Reasoning,2,1,60,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""Your PI interviewer asks: 'India shares borders with 7 countries. Which neighbour is India's biggest strategic challenge in 2025 — and why not the obvious answer?'"",""question"":""How do you respond?"",""options"":[""China - military and economic power"",""Pakistan - terrorism and proxy war"",""Nepal - changing strategic alignment"",""Bangladesh - water disputes and migration""],""requires_reasoning"":true}"
W2D1-CA,Operation Sindoor Details,Current Affairs,Reflect & Write,2,1,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 25 seconds: What was Operation Sindoor, when did it happen, and name one strategic signal it sent to Pakistan?"",""time_limit"":25,""is_timed"":true}"
W2D1-COM,Talk to Pakistan,Communication,Poll + Reasoning,2,1,40,poll,Daily life,"{""type"":""Poll + Reasoning"",""question"":""POLL: India should talk to Pakistan despite ongoing cross-border terrorism. Agree or disagree?"",""options"":[""Agree - dialogue is the only path"",""Disagree - talks reward terrorism"",""Agree but with preconditions"",""Disagree - actions speak louder""],""requires_reasoning"":true,""reasoning_prompt"":""Give your 2-sentence argument — no fence-sitting.""}"
W2D1-LEAD,Different Background Teaching,Leadership,Reflect & Write,2,1,40,reflect,Daily life,"{""type"":""Reflect & Write"",""prompt"":""Write about a time someone from a different background (region, religion, economic class) taught you something important. What did it change about how you see leadership?"",""min_words"":30}"
W2D1-OT,Map India's Neighbours,Officer Thinking,Daily Challenge,2,1,60,challenge,Daily life,"{""type"":""Daily Challenge"",""task"":""REAL WORLD TASK: Find India on a physical or digital map. Identify all 7 land-border neighbours and one current issue with each. Write it down."",""completion_criteria"":""Time yourself — aim for under 5 minutes.""}"
W2D2-GEO,US Defence Partnership,Geopolitics,Poll + Reasoning,2,2,80,dilemma,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""DILEMMA: India is offered a defence partnership by the US that gives India advanced weapons but requires India to share intelligence on China."",""question"":""Should India accept?"",""options"":[""Yes - strategic advantage outweighs risk"",""No - compromises strategic autonomy"",""Yes but negotiate terms"",""No - maintain non-alignment""],""requires_reasoning"":true}"
W2D2-CA,Agnipath Scheme GD,Current Affairs,Poll + Reasoning,2,2,50,scenario,SSB,"{""type"":""Poll + Reasoning"",""scenario"":""In a GD, the topic is: 'India's Agnipath scheme has done more harm than good.' You have 3 minutes to form a position."",""question"":""What's your stance and core argument?"",""options"":[""Agree - undermines military readiness"",""Disagree - modernizes force structure"",""Agree - poor implementation overshadows intent"",""Disagree - early to judge long-term impact""],""requires_reasoning"":true}"
W2D2-CONF,No First Use Doctrine,Confidence,Reflect & Write,2,2,30,rapid_fire,SSB,"{""type"":""Reflect & Write"",""prompt"":""RAPID FIRE — 20 seconds: What is India's 'No First Use' nuclear doctrine and name one country that does NOT follow this doctrine?"",""time_limit"":20,""is_timed"":true}"
