question,correct_answer,difficulty,category
Who is the Supreme Commander of the Indian Armed Forces?,The President of India.,Easy,Indian Constitution
What is the motto of the Indian Army?,Service before self.,Easy,Indian Armed Forces
When is Army Day celebrated in India?,15th January.,Easy,Indian Armed Forces
What is the highest honorary rank in the Indian Army?,Field Marshal.,Medium,Indian Armed Forces
What is the highest honorary rank in the Indian Navy?,Admiral of the Fleet.,Medium,Indian Armed Forces
What is the highest honorary rank in the Indian Air Force?,Marshal of the Air Force.,Medium,Indian Armed Forces
What is the highest commissioned rank in the Indian Army?,General.,Easy,Indian Armed Forces
What is the highest commissioned rank in the Indian Navy?,Admiral.,Easy,Indian Armed Forces
What is the highest commissioned rank in the Indian Air Force?,Air Chief Marshal.,Easy,Indian Armed Forces
What is the Naval equivalent of an Army Lieutenant?,Sub-Lieutenant.,Medium,Indian Armed Forces
What is the Air Force equivalent of an Army Lieutenant?,Flying Officer.,Medium,Indian Armed Forces
What is the Air Force equivalent of a Naval Lieutenant?,Flight Lieutenant.,Medium,Indian Armed Forces
What is the Naval equivalent of an Air Force Squadron Leader?,Lieutenant Commander.,Medium,Indian Armed Forces
What is the Army equivalent of a Naval Commander?,Lieutenant Colonel.,Medium,Indian Armed Forces
What is the Naval equivalent of an Air Force Group Captain?,Captain.,Medium,Indian Armed Forces
What is the Air Force equivalent of an Army Brigadier?,Air Commodore.,Medium,Indian Armed Forces
What is the Army equivalent of a Naval Commodore?,Brigadier.,Medium,Indian Armed Forces
What is the Naval equivalent of an Army Major General?,Rear Admiral.,Medium,Indian Armed Forces
What is the Air Force equivalent of a Naval Rear Admiral?,Air Vice Marshal.,Medium,Indian Armed Forces
What is the Naval equivalent of an Army Lieutenant General?,Vice Admiral.,Medium,Indian Armed Forces
What is the Air Force equivalent of an Army Lieutenant General?,Air Marshal.,Medium,Indian Armed Forces
What is the highest Junior Commissioned Officer rank in the Indian Army?,Subedar Major or Risaldar Major.,Medium,Indian Armed Forces
What is the middle Junior Commissioned Officer rank in the Indian Army?,Subedar or Risaldar.,Medium,Indian Armed Forces
What is the lowest Junior Commissioned Officer rank in the Indian Army?,Naib Subedar or Naib Risaldar.,Medium,Indian Armed Forces
How many operational commands are there in the Indian Army?,Six operational commands.,Medium,Indian Armed Forces
Where is the Central Command of the Indian Army headquartered?,"Lucknow, Uttar Pradesh.",Medium,Indian Armed Forces
Where is the Eastern Command of the Indian Army headquartered?,"Kolkata, West Bengal.",Medium,Indian Armed Forces
Where is the Northern Command of the Indian Army headquartered?,"Udhampur, Jammu and Kashmir.",Medium,Indian Armed Forces
Where is the Southern Command of the Indian Army headquartered?,"Pune, Maharashtra.",Medium,Indian Armed Forces
Where is the South Western Command of the Indian Army headquartered?,"Jaipur, Rajasthan.",Medium,Indian Armed Forces
Where is the Western Command of the Indian Army headquartered?,Chandimandir.,Medium,Indian Armed Forces
What is the motto of the Indian Navy?,Shano Varuna (May the Lord of the Oceans be auspicious unto us).,Medium,Indian Armed Forces
How many operational commands does the Indian Navy operate?,Three operational commands.,Medium,Indian Armed Forces
Where is the Western Naval Command headquartered?,"Mumbai, Maharashtra.",Easy,Indian Armed Forces
