id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-222,SSB Fundamentals,SSB Process,Easy,SingleWord,What is the full form of PPDT used in SSB screening?,,"{""correctAnswer"":""Picture Perception and Discussion Test"",""acceptableAnswers"":[""picture perception and discussion test"",""picture perception & discussion test""],""explanation"":""PPDT stands for Picture Perception and Discussion Test conducted on Day 1 of SSB.""}",5,,"[""SSB"",""screening"",""PPDT""]",NotebookLM Import,true
NLM-223,SSB Fundamentals,SSB Process,Easy,SingleWord,What is the full form of GD in the context of SSB Group Testing?,,"{""correctAnswer"":""Group Discussion"",""acceptableAnswers"":[""group discussion""],""explanation"":""GD stands for Group Discussion one of the Group Testing Officer tasks in SSB.""}",5,,"[""SSB"",""GTO"",""Group Testing""]",NotebookLM Import,true
NLM-224,SSB Fundamentals,SSB Process,Easy,SingleWord,Name the final stage of SSB where the board president addresses all candidates.,,"{""correctAnswer"":""Conference"",""acceptableAnswers"":[""conference round"",""final conference""],""explanation"":""The Conference is held on Day 5 of SSB where the board president and all assessors collectively determine the final result.""}",5,,"[""SSB"",""conference"",""Day5""]",NotebookLM Import,true
NLM-225,OLQs,Officer Like Qualities,Medium,SingleWord,Which OLQ refers to the ability to remain calm and make sound decisions under pressure?,,"{""correctAnswer"":""Effective Intelligence"",""acceptableAnswers"":[""effective intelligence""],""explanation"":""Effective Intelligence is the OLQ that reflects decision-making quality under stressful or uncertain conditions.""}",10,,"[""OLQ"",""intelligence"",""decision making""]",NotebookLM Import,true
NLM-226,OLQs,Officer Like Qualities,Easy,SingleWord,What does OLQ stand for in the context of SSB assessment?,,"{""correctAnswer"":""Officer Like Qualities"",""acceptableAnswers"":[""officer like qualities"",""officer-like qualities""],""explanation"":""OLQs are the 15 behavioural traits assessed during SSB to determine officer potential.""}",5,,"[""OLQ"",""SSB""]",NotebookLM Import,true
NLM-227,OLQs,Officer Like Qualities,Medium,SingleWord,Which OLQ reflects a candidate ability to work cooperatively towards a shared goal?,,"{""correctAnswer"":""Ability to Influence Group"",""acceptableAnswers"":[""ability to influence group"",""group influence""],""explanation"":""Ability to Influence the Group is an OLQ that measures how effectively a candidate motivates and aligns the team.""}",10,,"[""OLQ"",""teamwork"",""leadership""]",NotebookLM Import,true
NLM-228,SSB Fundamentals,Psychological Tests,Easy,SingleWord,In WAT what does each word presented to the candidate trigger?,,"{""correctAnswer"":""Sentence"",""acceptableAnswers"":[""a sentence"",""sentence response""],""explanation"":""In WAT the candidate writes a sentence for each word shown revealing personality traits.""}",5,,"[""WAT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-229,Psychological Tests,TAT,Easy,SingleWord,In TAT what does a candidate construct based on the image shown?,,"{""correctAnswer"":""Story"",""acceptableAnswers"":[""a story"",""narrative""],""explanation"":""In the Thematic Apperception Test the candidate writes a story with a beginning middle and end based on the picture shown.""}",5,,"[""TAT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-230,Psychological Tests,SRT,Medium,SingleWord,How many situations are typically presented to a candidate in the SRT?,,"{""correctAnswer"":""60"",""acceptableAnswers"":[""sixty""],""explanation"":""Candidates are given 60 situations in 30 minutes during the Situation Reaction Test.""}",10,,"[""SRT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-231,SSB Fundamentals,SSB Process,Easy,SingleWord,What is the full form of IO used in the Individual Obstacles task?,,"{""correctAnswer"":""Individual Obstacles"",""acceptableAnswers"":[""individual obstacles""],""explanation"":""IO stands for Individual Obstacles a GTO task testing individual physical ability and determination.""}",5,,"[""GTO"",""individual obstacles"",""SSB""]",NotebookLM Import,true
NLM-232,GTO Tasks,Group Tasks,Medium,SingleWord,What is the name of the GTO task where the group crosses obstacles using given materials without touching the ground?,,"{""correctAnswer"":""Group Obstacle Race"",""acceptableAnswers"":[""group obstacle race"",""group obs""],""explanation"":""The Group Obstacle Race requires the group to complete a series of obstacles using only the provided materials.""}",10,,"[""GTO"",""group tasks"",""SSB""]",NotebookLM Import,true
NLM-233,SSB Fundamentals,SSB Process,Easy,SingleWord,What is the first document a candidate fills in at the SSB reporting centre?,,"{""correctAnswer"":""Personal Information Form"",""acceptableAnswers"":[""personal information form"",""PIF"",""pif""],""explanation"":""The Personal Information Form is the first document filled at SSB covering background education family and achievements.""}",5,,"[""SSB"",""PIF"",""screening""]",NotebookLM Import,true
NLM-234,Interview Prep,Self Assessment,Medium,SingleWord,What term describes the gap between how you perceive yourself and how others actually see you?,,"{""correctAnswer"":""Blind Spot"",""acceptableAnswers"":[""blind spot"",""blind area""],""explanation"":""In the Johari Window model the Blind Spot is what others know about you that you yourself do not know.""}",10,,"[""interview"",""self-awareness"",""Johari""]",NotebookLM Import,true
NLM-235,Leadership,Team Dynamics,Medium,SingleWord,What leadership style gives full freedom to team members with minimum interference from the leader?,,"{""correctAnswer"":""Laissez-faire"",""acceptableAnswers"":[""laissez faire"",""laissez-faire"",""delegative""],""explanation"":""Laissez-faire leadership allows team members to make their own decisions with minimal leader involvement.""}",10,,"[""leadership"",""styles"",""OLQ""]",NotebookLM Import,true
NLM-236,General Knowledge,Indian Military,Easy,SingleWord,What is the highest military honour awarded in India for gallantry in the face of the enemy?,,"{""correctAnswer"":""Param Vir Chakra"",""acceptableAnswers"":[""param vir chakra"",""PVC"",""pvc""],""explanation"":""The Param Vir Chakra is India highest wartime gallantry award equivalent to the Victoria Cross.""}",5,,"[""awards"",""gallantry"",""military""]",NotebookLM Import,true
NLM-237,General Knowledge,NDA/CDS,Easy,SingleWord,What is the name of the written exam conducted by UPSC for entry into the National Defence Academy?,,"{""correctAnswer"":""NDA Exam"",""acceptableAnswers"":[""nda exam"",""NDA written exam"",""NDA""],""explanation"":""UPSC conducts the NDA and NA Examination biannually for admission to the Army Navy and Air Force wings of NDA.""}",5,,"[""NDA"",""UPSC"",""exam""]",NotebookLM Import,true
