id,source_file,category,subcategory,question_type,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
S2-SW-001,Forge_Session2_Generated.csv,Indian Armed Forces,Ranks,SingleWord,Easy,The Indian Army's highest active operational rank is ________.,,,,,General,General is the senior-most active operational rank; Field Marshal is a ceremonial five-star rank.
S2-SW-002,Forge_Session2_Generated.csv,Indian Armed Forces,Navy,SingleWord,Medium,The Western Naval Command is headquartered at ________.,,,,,Mumbai,Mumbai hosts India's primary western naval headquarters.
S2-SW-003,Forge_Session2_Generated.csv,Indian Armed Forces,Air Force,SingleWord,Medium,The IAF's helicopter aerobatic display team is called ________.,,,,,Sarang,Sarang performs helicopter aerobatic displays using the indigenous Dhruv helicopter.
S2-SW-004,Forge_Session2_Generated.csv,Military History,Wars,SingleWord,Easy,The 1999 conflict fought in the icy heights of Jammu and Kashmir is known as the ________ War.,,,,,Kargil,Fought between May and July 1999 after infiltration across the LoC.
S2-SW-005,Forge_Session2_Generated.csv,Military History,Operations,SingleWord,Medium,India's 1984 operation to secure the Siachen Glacier was codenamed ________.,,,,,Meghdoot,"Meghdoot means 'cloud messenger', named after a classical Sanskrit poem."
S2-SW-006,Forge_Session2_Generated.csv,Defence Awareness,Gallantry Awards,SingleWord,Easy,India's highest peacetime gallantry award is the ________ Chakra.,,,,,Ashok,Awarded for the most conspicuous bravery away from direct combat with an enemy.
S2-SW-007,Forge_Session2_Generated.csv,Defence Awareness,Organisations,SingleWord,Medium,India's primary defence research body is abbreviated as ________.,,,,,DRDO,Stands for Defence Research and Development Organisation.
S2-SW-008,Forge_Session2_Generated.csv,Geography,Physical Geography,SingleWord,Easy,The southernmost tip of mainland India is called ________.,,,,,Kanyakumari,"Located where the Arabian Sea, Bay of Bengal, and Indian Ocean meet."
S2-SW-009,Forge_Session2_Generated.csv,Geography,Mountains,SingleWord,Medium,The mountain range forming India's northern border is the ________.,,,,,Himalayas,"The world's highest mountain range, spanning several northern states."
S2-SW-010,Forge_Session2_Generated.csv,General Knowledge,National Symbols,SingleWord,Easy,India's national emblem is derived from the Lion Capital at ________.,,,,,Sarnath,Erected by Emperor Ashoka in the 3rd century BCE.
S2-SW-011,Forge_Session2_Generated.csv,Psychology,WAT,SingleWord,Medium,The quality of training people to obey rules or a code of behavior is called ________.,,,,,Discipline,"Discipline is a fundamental trait that ensures order, structure, and operational efficiency."
S2-SW-012,Forge_Session2_Generated.csv,Psychology,WAT,SingleWord,Medium,"The ability to confront fear, pain, danger, or uncertainty is called ________.",,,,,Courage,Courage is essential for military leadership and decision-making under pressure.
S2-SW-013,Forge_Session2_Generated.csv,Officer Like Qualities,OLQ Terms,SingleWord,Medium,The quality of taking action without being told is called ________.,,,,,Initiative,A core OLQ assessed throughout the SSB process.
S2-SW-014,Forge_Session2_Generated.csv,Officer Like Qualities,OLQ Terms,SingleWord,Medium,The ability to adjust to new people and environments is called social ________.,,,,,Adaptability,One of the fifteen Officer Like Qualities assessed at SSB.
S2-SW-015,Forge_Session2_Generated.csv,Logical Thinking,Series,SingleWord,Medium,"In the series 2, 4, 8, 16, ?, the next number is ________.",,,,,32,Each term doubles the previous one.
S2-SW-016,Forge_Session2_Generated.csv,Logical Thinking,Analogy,SingleWord,Easy,Pen is to Write as Knife is to ________.,,,,,Cut,"A knife's primary function is cutting, paralleling a pen's function of writing."
S2-SW-017,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,SingleWord,Easy,15% of 200 is ________.,,,,,30,15/100 multiplied by 200 equals 30.
S2-SW-018,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,SingleWord,Medium,The square root of 144 is ________.,,,,,12,12 multiplied by itself equals 144.
S2-SW-019,Forge_Session2_Generated.csv,Observation,Detail Recall,SingleWord,Medium,The colour that results from mixing blue and yellow is ________.,,,,,Green,A basic principle of colour mixing in the visible spectrum.
S2-SW-020,Forge_Session2_Generated.csv,General Knowledge,Defence Equipment,SingleWord,Medium,BrahMos is classified as a supersonic ________ missile.,,,,,Cruise,BrahMos travels at nearly three times the speed of sound.
S2-SW-021,Forge_Session2_Generated.csv,Current Affairs,Government Schemes,SingleWord,Medium,The scheme for regional air connectivity in India is called ________.,,,,,UDAN,Stands for 'Ude Desh ka Aam Naagrik'.
S2-NUM-001,Forge_Session2_Generated.csv,Indian Armed Forces,Structure,Numeric,Medium,How many commands in total does the Indian Army have?,,,,,7,The Indian Army has six operational commands and one training command (ARTRAC).
S2-NUM-002,Forge_Session2_Generated.csv,Indian Armed Forces,Structure,Numeric,Medium,How many operational commands does the Indian Navy have?,,,,,3,"The Navy has three commands: Western, Eastern, and Southern Naval Commands."
S2-NUM-003,Forge_Session2_Generated.csv,Indian Armed Forces,Structure,Numeric,Medium,How many operational and functional commands does the Indian Air Force have in total?,,,,,7,Five operational commands plus two functional commands (Training and Maintenance).
S2-NUM-004,Forge_Session2_Generated.csv,Defence Awareness,National Days,Numeric,Easy,On which date in January is Indian Army Day celebrated?,,,,,15,Army Day marks Field Marshal K.M. Cariappa becoming the first Indian Commander-in-Chief in 1949.
S2-NUM-005,Forge_Session2_Generated.csv,Defence Awareness,National Days,Numeric,Easy,On which date in December is Indian Navy Day celebrated?,,,,,4,Navy Day marks Operation Trident's strike on Karachi harbour during the 1971 war.
S2-NUM-006,Forge_Session2_Generated.csv,Defence Awareness,National Days,Numeric,Easy,On which date in October is Indian Air Force Day celebrated?,,,,,8,IAF Day marks the founding of the Indian Air Force in 1932.
S2-NUM-007,Forge_Session2_Generated.csv,Military History,Wars,Numeric,Medium,In what year did the Kargil War take place?,,,,,1999,The Kargil War was fought between May and July 1999.
S2-NUM-008,Forge_Session2_Generated.csv,Military History,Wars,Numeric,Medium,In what year did India and Pakistan fight the war that led to the creation of Bangladesh?,,,,,1971,The war lasted just 13 days on the eastern front before Dhaka fell.
S2-NUM-009,Forge_Session2_Generated.csv,Military History,Wars,Numeric,Medium,In what year was Operation Meghdoot launched to secure the Siachen Glacier?,,,,,1984,India occupied key passes on the glacier ahead of a suspected rival move.
S2-NUM-010,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,Numeric,Easy,What is 25% of 400?,,,,,100,25/100 multiplied by 400 equals 100.
S2-NUM-011,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,Numeric,Easy,What is the sum of the first five natural numbers?,,,,,15,1+2+3+4+5 equals 15.
S2-NUM-012,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,Numeric,Medium,What is 17 multiplied by 6?,,,,,102,A direct multiplication calculation.
S2-NUM-013,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,Numeric,Medium,What is the square of 13?,,,,,169,13 multiplied by itself equals 169.
S2-NUM-014,Forge_Session2_Generated.csv,Basic Mathematics,Arithmetic,Numeric,Hard,"What is 144 divided by 12, then multiplied by 5?",,,,,60,"144/12 equals 12, and 12 multiplied by 5 equals 60."
S2-NUM-015,Forge_Session2_Generated.csv,Basic Mathematics,Percentages,Numeric,Medium,A shirt priced at 800 rupees is sold at a 25% discount. What is the discount amount in rupees?,,,,,200,25% of 800 is 200.
S2-NUM-016,Forge_Session2_Generated.csv,Logical Thinking,Series,Numeric,Medium,"In the series 3, 6, 12, 24, ?, what is the next number?",,,,,48,Each term doubles the previous term.
S2-NUM-017,Forge_Session2_Generated.csv,Logical Thinking,Series,Numeric,Medium,"In the series 1, 4, 9, 16, 25, ?, what is the next number?",,,,,36,"This is a series of perfect squares: 1,4,9,16,25,36."
S2-NUM-018,Forge_Session2_Generated.csv,Logical Thinking,Series,Numeric,Hard,"In the series 2, 6, 12, 20, 30, ?, what is the next number?",,,,,42,"The differences between terms increase by 2 each time: 4,6,8,10,12."
S2-NUM-019,Forge_Session2_Generated.csv,Logical Thinking,Puzzles,Numeric,Hard,"A boy has 3 times as many sisters as brothers. If he has 2 brothers, how many sisters does he have?",,,,,6,"With 2 brothers, 3 times that number gives 6 sisters."
S2-NUM-020,Forge_Session2_Generated.csv,Observation,Counting,Numeric,Easy,How many sides does a hexagon have?,,,,,6,A hexagon is a polygon with six sides.
S2-NUM-021,Forge_Session2_Generated.csv,Observation,Counting,Numeric,Easy,How many players are there on a standard football team on the field at one time?,,,,,11,Each football team fields eleven players during a match.
S2-NUM-022,Forge_Session2_Generated.csv,Observation,Counting,Numeric,Medium,How many time zones does mainland India officially use?,,,,,1,"India uses a single time zone, IST, despite its wide east-west span."
S2-NUM-023,Forge_Session2_Generated.csv,Geography,States,Numeric,Medium,How many states does India currently have?,,,,,28,India has 28 states and 8 union territories as per current administrative divisions.
S2-NUM-024,Forge_Session2_Generated.csv,Geography,Borders,Numeric,Medium,With how many countries does India share a land border?,,,,,7,"India shares land borders with Pakistan, China, Nepal, Bhutan, Bangladesh, Myanmar, and Afghanistan."
S2-NUM-025,Forge_Session2_Generated.csv,Geography,Physical Geography,Numeric,Hard,Approximately how many kilometers long is India's coastline?,,,,,7517,"India's coastline spans approximately 7,517 kilometers including island territories."
