"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Difficulty","Category"
"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Difficulty","Category"
"What is the equivalent rank of a Lieutenant Colonel of the Indian Army in the Indian Air Force?","Group Captain","Wing Commander","Air Commodore","Squadron Leader","Wing Commander","In the Indian Armed Forces rank structure, a Lieutenant Colonel in the Army is equivalent to a Wing Commander in the Air Force. Group Captain is equivalent to Colonel.","Medium","Indian Armed Forces"
"Which of the following locations serves as the headquarters for the Indian Army Training Command?","Pune","Jaipur","Shimla","Lucknow","Shimla","The Training Command of the Indian Army is headquartered in Shimla. Pune hosts the Southern Command, Jaipur the South-Western Command, and Lucknow the Central Command.","Medium","Indian Armed Forces"
"Which of the following locations serves as the headquarters for the first and only Tri-Service Theatre Command of the Indian Armed Forces?","Andaman and Nicobar Command","Eastern Naval Command","Southern Air Command","Western Naval Command","Andaman and Nicobar Command","The Andaman and Nicobar Command based at Port Blair is the first and only Tri-Service theatre command of the Indian Armed Forces.","Medium","Indian Armed Forces"
"Which of the following is India's first indigenously developed nuclear-powered ballistic missile submarine?","INS Kalvari","INS Chakra","INS Arihant","INS Sindhurakshak","INS Arihant","INS Arihant is India's first indigenously developed nuclear-powered submarine. INS Kalvari and INS Sindhurakshak are diesel-electric, while INS Chakra was leased from Russia.","Medium","Defence Technology"
"Which of the following military decorations is awarded for conspicuous gallantry, courageous action, or self-sacrifice away from the battlefield?","Param Vir Chakra","Maha Vir Chakra","Ashok Chakra","Vir Chakra","Ashok Chakra","Ashok Chakra is India's highest peacetime military decoration awarded for valour away from the battlefield. The PVC, MVC, and VC are wartime gallantry awards.","Medium","Military Awareness"
"Which among the following is India's first indigenously developed long-range subsonic cruise missile?","BrahMos","Nirbhay","Shaurya","Prahaar","Nirbhay","Nirbhay is India's first long-range subsonic cruise missile. BrahMos is a supersonic cruise missile, while Shaurya and Prahaar are ballistic missiles.","Hard","Defence Technology"
"Which vessel holds the distinction of being the first indigenously built missile boat of the Indian Navy?","INS Vinash","INS Khukri","INS Vibhuti","INS Ajay","INS Vibhuti","INS Vibhuti was the first indigenously built missile boat of the Indian Navy, showcasing India's growing self-reliance in naval defence.","Hard","Defence Technology"
"Who among the following was the first woman to be promoted to the rank of Air Marshal in the Indian Air Force?","Punita Arora","Harita Kaur Deol","Mitali Madhumita","Padmavathy Bandopadhyay","Padmavathy Bandopadhyay","Padmavathy Bandopadhyay is the first woman Air Marshal of the Indian Air Force. Punita Arora was the first in the Army, and Harita Kaur Deol was a pioneering pilot.","Hard","Indian Armed Forces"
"In which year was the First Battle of Panipat fought, marking the beginning of the Mughal Empire in India?","1526","1527","1539","1556","1526","The First Battle of Panipat was fought in 1526 between Babur and Ibrahim Lodhi. The others are Khanwa (1527), Chausa (1539), and Second Panipat (1556).","Easy","Military History"
