id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-271,Decision Making,Quick Response,Medium,RapidResponse,You are the group leader during a GTO task. One member repeatedly suggests ideas that slow the group down. What do you do?,,"{""options"":[""Ignore the member and proceed"",""Politely redirect and involve them constructively"",""Tell them to stay quiet"",""Ask the GTO to remove them""],""correctIndex"":1,""explanation"":""A good leader channels every member energy positively. Ignoring or silencing someone damages group morale and your leadership score.""}",10,20,"[""GTO"",""leadership"",""group dynamics""]",NotebookLM Import,true
NLM-272,Decision Making,Quick Response,Medium,RapidResponse,During your personal interview at SSB you are asked about a current affairs topic you have no knowledge of. What do you do?,,"{""options"":[""Make up a plausible-sounding answer"",""Change the subject immediately"",""Honestly admit you do not know and show willingness to learn"",""Stay silent and wait for the next question""],""correctIndex"":2,""explanation"":""Honesty and intellectual humility are valued OLQs. Admitting ignorance confidently is better than guessing or evading.""}",10,20,"[""interview"",""honesty"",""OLQ""]",NotebookLM Import,true
NLM-273,Leadership,Quick Response,Hard,RapidResponse,Your subordinate reports that equipment needed for the mission is faulty and departure is in 10 minutes. What is your first action?,,"{""options"":[""Postpone the mission indefinitely"",""Quickly assess if the task can be completed with available resources"",""Proceed without equipment and hope for the best"",""Wait for orders from higher command""],""correctIndex"":1,""explanation"":""Effective Intelligence means quickly assessing the situation with available resources. A leader acts adapts and decides.""}",15,20,"[""leadership"",""decision making"",""field exercise""]",NotebookLM Import,true
NLM-274,Communication,Quick Response,Easy,RapidResponse,During Group Discussion at SSB you have a strong point to make but someone else is speaking. What is the best approach?,,"{""options"":[""Interrupt immediately so your point is not lost"",""Wait for a natural pause and make your point clearly"",""Write a note and pass it to the GTO"",""Stay silent to avoid conflict""],""correctIndex"":1,""explanation"":""Good communication involves active listening and asserting your view at the right moment. Interrupting appears aggressive; staying silent loses opportunities.""}",10,20,"[""communication"",""GD"",""SSB""]",NotebookLM Import,true
NLM-275,Decision Making,Quick Response,Hard,RapidResponse,You discover that one of your fellow candidates at SSB is providing false information on their PIF. What do you do?,,"{""options"":[""Ignore it as it is not your concern"",""Confront and threaten them privately"",""Report it to the appropriate authority"",""Wait until after SSB to take action""],""correctIndex"":2,""explanation"":""Integrity and moral courage are core OLQs. An officer must report dishonesty regardless of social discomfort.""}",15,20,"[""integrity"",""OLQ"",""ethics""]",NotebookLM Import,true
NLM-276,Leadership,Quick Response,Medium,RapidResponse,Your team fails to complete the GTO command task within the time limit. As the nominated commander what is the best response?,,"{""options"":[""Blame individual members for the failure"",""Accept responsibility and identify what could be done differently"",""Pretend the task was completed"",""Refuse to comment until the debrief""],""correctIndex"":1,""explanation"":""Accepting responsibility without excuse is a hallmark of officer-level leadership and directly assessed by GTOs.""}",10,20,"[""GTO"",""command task"",""leadership""]",NotebookLM Import,true
NLM-277,OLQs,Quick Response,Medium,RapidResponse,You are in a group discussion and the group is heading towards a wrong conclusion. What do you do?,,"{""options"":[""Go along to avoid conflict"",""Firmly and respectfully present the correct perspective with reasoning"",""Stay quiet and let the group fail"",""Ask the GTO to intervene""],""correctIndex"":1,""explanation"":""Showing initiative and the ability to influence the group constructively are key OLQs even if it means taking an unpopular stand.""}",10,20,"[""OLQ"",""GD"",""initiative""]",NotebookLM Import,true
NLM-278,Decision Making,Quick Response,Easy,RapidResponse,A fellow cadet at NDA is struggling with academics and considers dropping out. What is your first action?,,"{""options"":[""Report them to the senior immediately"",""Encourage and offer to help them find support"",""Tell them it is their personal decision"",""Share their struggles with the group without permission""],""correctIndex"":1,""explanation"":""Genuine concern for others and social adaptability are OLQs. Supporting a struggling peer reflects the camaraderie expected of an officer.""}",10,20,"[""OLQ"",""camaraderie"",""NDA""]",NotebookLM Import,true
NLM-279,Communication,Quick Response,Hard,RapidResponse,You are nominated as group representative but realise midway that another candidate has a better solution. What do you do?,,"{""options"":[""Stick to your original plan to maintain authority"",""Acknowledge the better idea and integrate it into the group approach"",""Ask to be replaced as group representative"",""Dismiss the other idea without consideration""],""correctIndex"":1,""explanation"":""The ability to adapt and recognise superior solutions reflects effective intelligence and group cohesion not weakness.""}",15,20,"[""leadership"",""communication"",""adaptability""]",NotebookLM Import,true
NLM-280,Decision Making,Quick Response,Medium,RapidResponse,During an outdoor GTO task a group member gets injured with no medical support nearby. What do you prioritise first?,,"{""options"":[""Continue the task to complete on time"",""Ensure immediate first aid and inform the GTO"",""Ask another group member to handle it"",""Carry the injured person yourself and complete the task""],""correctIndex"":1,""explanation"":""Safety of personnel takes absolute priority. Immediately rendering aid and alerting the GTO demonstrates responsibility and presence of mind.""}",10,20,"[""GTO"",""safety"",""decision making""]",NotebookLM Import,true
