id,category,subcategory,difficulty,question_type,question,prompt,answer_data,xp_reward,time_limit,tags,source,active
NLM-281,SSB Fundamentals,SSB Process,Easy,MCQ,Which of the following correctly describes the sequence of events on Day 1 of the SSB selection process?,,"{""options"":[""Medical check then GTO tasks then Conference"",""Officer Intelligence Rating test then PPDT then Screening decision"",""Personal Interview then WAT then SRT"",""Command Task then GD then Final debrief""],""correctIndex"":1,""explanation"":""Day 1 consists of the Screening tests: OIR followed by PPDT. Only those who clear screening proceed further.""}",5,,"[""SSB"",""Day1"",""screening""]",NotebookLM Import,true
NLM-282,OLQs,Officer Like Qualities,Medium,MCQ,Which of the following is NOT one of the 15 Officer Like Qualities assessed during SSB?,,"{""options"":[""Effective Intelligence"",""Reasoning Ability"",""Speed Reading"",""Determination""],""correctIndex"":2,""explanation"":""Speed Reading is not an OLQ. The 15 OLQs include traits like Effective Intelligence Reasoning Ability Organising Ability Determination Initiative and Social Adaptability.""}",10,,"[""OLQ"",""SSB"",""assessment""]",NotebookLM Import,true
NLM-283,Psychological Tests,TAT,Medium,MCQ,In the Thematic Apperception Test what is the recommended structure of the story a candidate writes?,,"{""options"":[""A description of the image only"",""A thought an action and a conclusion"",""A beginning middle and end with a positive outcome"",""A dialogue between characters in the image""],""correctIndex"":2,""explanation"":""TAT stories should have a clear beginning middle and end. They ideally show a positive proactive hero reflecting OLQs like initiative determination and social responsibility.""}",10,,"[""TAT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-284,GTO Tasks,Group Tasks,Medium,MCQ,Which GTO task specifically tests a candidate ability to lead a group under a defined command structure?,,"{""options"":[""Group Discussion"",""Group Planning Exercise"",""Command Task"",""Progressive Group Task""],""correctIndex"":2,""explanation"":""The Command Task is where a nominated candidate leads 2-3 fellow candidates to complete an obstacle-crossing task directly assessing leadership under defined command.""}",10,,"[""GTO"",""command task"",""leadership""]",NotebookLM Import,true
NLM-285,General Knowledge,Indian Military,Easy,MCQ,Which institution awards the President Colours to outstanding military units in India?,,"{""options"":[""Ministry of Defence"",""Chief of Defence Staff"",""President of India"",""Army Headquarters""],""correctIndex"":2,""explanation"":""The President Colours is presented by the President of India to a unit in recognition of exceptional service.""}",5,,"[""military honours"",""President"",""armed forces""]",NotebookLM Import,true
NLM-286,General Knowledge,Indian Military,Medium,MCQ,Which regiment of the Indian Army is the oldest tracing its lineage to 1776?,,"{""options"":[""Rajput Regiment"",""Madras Regiment"",""Punjab Regiment"",""Grenadiers Regiment""],""correctIndex"":1,""explanation"":""The Madras Regiment is the oldest regiment of the Indian Army raised in 1776 by the East India Company.""}",10,,"[""Army"",""regiments"",""history""]",NotebookLM Import,true
NLM-287,SSB Fundamentals,SSB Process,Hard,MCQ,Which statement about the Self-Description Test in SSB is accurate?,,"{""options"":[""It is conducted on Day 1 as part of screening"",""The candidate describes how parents teachers friends and they themselves see them"",""It replaces the WAT for older candidates"",""Results are not used by the psychologist""],""correctIndex"":1,""explanation"":""In the Self-Description Test candidates write how their parents friends teachers and themselves perceive them revealing self-awareness and social perception.""}",20,,"[""SDT"",""psychological"",""SSB""]",NotebookLM Import,true
NLM-288,Leadership,Officer Traits,Hard,MCQ,An officer leading a patrol comes under unexpected heavy fire with two members wounded. Which action best demonstrates sound military leadership?,,"{""options"":[""Retreat immediately to report back to base"",""Suppress fire secure the wounded and request extraction while maintaining mission awareness"",""Abandon the patrol objective and focus only on the wounded"",""Call for immediate air support without assessing the situation""],""correctIndex"":1,""explanation"":""Sound military leadership requires simultaneous handling of multiple priorities: suppressing the threat caring for wounded personnel and maintaining situational awareness.""}",20,,"[""leadership"",""military"",""decision making""]",NotebookLM Import,true
NLM-289,General Knowledge,NDA/CDS,Medium,MCQ,The Combined Defence Services examination is conducted by which organisation?,,"{""options"":[""NDA Board"",""Ministry of Defence"",""Union Public Service Commission"",""Army Headquarters""],""correctIndex"":2,""explanation"":""UPSC conducts the CDS examination for entry into the Indian Military Academy Officers Training Academy Naval Academy and Air Force Academy.""}",10,,"[""CDS"",""UPSC"",""exam""]",NotebookLM Import,true
NLM-290,SSB Fundamentals,SSB Process,Medium,MCQ,What is the purpose of the Initial Obstacle Test conducted before GTO group tasks begin?,,"{""options"":[""It is a written test on military knowledge"",""It is a physical confidence test done individually to reduce hesitation and observe confidence"",""It assesses verbal communication only"",""It is conducted on Day 5""],""correctIndex"":1,""explanation"":""The Initial Obstacle Test is a physical confidence-building exercise done individually before GTO group tasks begin to reduce hesitation and observe physical confidence.""}",10,,"[""GTO"",""IOT"",""SSB""]",NotebookLM Import,true
